,network_type,noise,threshold,trust_min,trust_max,truth_fraction,mean_persistent,std_persistent
139,ER,0.1,0.5,0.8,1.0,0.1,0.8570000000000002,0.045617978911828186
140,ER,0.1,0.5,0.8,1.0,0.2,0.5075,0.26579832580360624
141,ER,0.1,0.5,0.8,1.0,0.3,0.08499999999999999,0.1333604139165742
142,ER,0.1,0.5,0.8,1.0,0.4,0.0,0.0
143,ER,0.1,0.5,0.8,1.0,0.5,0.0,0.0
144,ER,0.1,0.6,0.2,0.4,0.05,0.1875,0.025470571253900055
145,ER,0.1,0.6,0.2,0.4,0.1,0.23700000000000004,0.038091993909481814
146,ER,0.1,0.6,0.2,0.4,0.2,0.2625,0.023637893307145632
147,ER,0.1,0.6,0.2,0.4,0.3,0.30350000000000005,0.02725344014982329
148,ER,0.1,0.6,0.2,0.4,0.4,0.321,0.03330165161069343
149,ER,0.1,0.6,0.2,0.4,0.5,0.31849999999999995,0.0226439837484485
150,ER,0.1,0.6,0.4,0.6,0.05,0.20450000000000004,0.02578274616870747
151,ER,0.1,0.6,0.4,0.6,0.1,0.22599999999999998,0.03426368339802363
152,ER,0.1,0.6,0.4,0.6,0.2,0.2715000000000001,0.03305676935213119
153,ER,0.1,0.6,0.4,0.6,0.3,0.308,0.03059411708155671
154,ER,0.1,0.6,0.4,0.6,0.4,0.313,0.03148015247739439
155,ER,0.1,0.6,0.4,0.6,0.5,0.31599999999999995,0.030397368307141338
156,ER,0.1,0.6,0.6,0.8,0.05,0.35700000000000004,0.1598780785473731
157,ER,0.1,0.6,0.6,0.8,0.1,0.37950000000000006,0.19048556375746692
158,ER,0.1,0.6,0.6,0.8,0.2,0.24200000000000005,0.13592645070036957
159,ER,0.1,0.6,0.6,0.8,0.3,0.20500000000000002,0.1183427226321923
160,ER,0.1,0.6,0.6,0.8,0.4,0.11700000000000002,0.07321885003194191
161,ER,0.1,0.6,0.6,0.8,0.5,0.119,0.08227393268830657
162,ER,0.1,0.6,0.8,1.0,0.05,0.9385,0.014239030865898115
163,ER,0.1,0.6,0.8,1.0,0.1,0.8185,0.15669317151682136
164,ER,0.1,0.6,0.8,1.0,0.2,0.6255,0.10346376177193636
165,ER,0.1,0.6,0.8,1.0,0.3,0.145,0.1869358178627092
166,ER,0.1,0.6,0.8,1.0,0.4,0.0055,0.023973944189473705
167,ER,0.1,0.6,0.8,1.0,0.5,0.0005,0.002179449471770337
168,ER,0.1,0.7,0.2,0.4,0.05,0.1585,0.027977669667075558
169,ER,0.1,0.7,0.2,0.4,0.1,0.19150000000000003,0.032752862470324634
170,ER,0.1,0.7,0.2,0.4,0.2,0.22150000000000003,0.02920188350089768
171,ER,0.1,0.7,0.2,0.4,0.3,0.2665,0.03758656674930552
172,ER,0.1,0.7,0.2,0.4,0.4,0.3045,0.028892040426387322
173,ER,0.1,0.7,0.2,0.4,0.5,0.30699999999999994,0.027946377224964236
174,ER,0.1,0.7,0.4,0.6,0.05,0.16099999999999998,0.0422965719651132
175,ER,0.1,0.7,0.4,0.6,0.1,0.199,0.044485952839070454
176,ER,0.1,0.7,0.4,0.6,0.2,0.24949999999999997,0.030736785778607365
177,ER,0.1,0.7,0.4,0.6,0.3,0.2845,0.038009867139994054
178,ER,0.1,0.7,0.4,0.6,0.4,0.30849999999999994,0.04596466033813369
179,ER,0.1,0.7,0.4,0.6,0.5,0.299,0.03562302626111375
180,ER,0.1,0.7,0.6,0.8,0.05,0.322,0.18290981384277882
181,ER,0.1,0.7,0.6,0.8,0.1,0.36450000000000005,0.212543524954302
182,ER,0.1,0.7,0.6,0.8,0.2,0.23850000000000002,0.17810881505416848
183,ER,0.1,0.7,0.6,0.8,0.3,0.21799999999999997,0.12979214151866053
184,ER,0.1,0.7,0.6,0.8,0.4,0.10900000000000001,0.09104394543296111
185,ER,0.1,0.7,0.6,0.8,0.5,0.09900000000000002,0.060074953183502346
186,ER,0.1,0.7,0.8,1.0,0.05,0.9335000000000001,0.01981792118260639
187,ER,0.1,0.7,0.8,1.0,0.1,0.8540000000000001,0.04340506882842141
188,ER,0.1,0.7,0.8,1.0,0.2,0.5980000000000001,0.13585286158193358
189,ER,0.1,0.7,0.8,1.0,0.3,0.097,0.1690295832095672
190,ER,0.1,0.7,0.8,1.0,0.4,0.0005,0.0021794494717703367
191,ER,0.1,0.7,0.8,1.0,0.5,0.0,0.0
192,ER,0.1,0.8,0.2,0.4,0.05,0.11900000000000002,0.03128897569432403
193,ER,0.1,0.8,0.2,0.4,0.1,0.15450000000000003,0.028368115905008567
194,ER,0.1,0.8,0.2,0.4,0.2,0.20950000000000002,0.029064583258667242
195,ER,0.1,0.8,0.2,0.4,0.3,0.25550000000000006,0.032476914878109955
196,ER,0.1,0.8,0.2,0.4,0.4,0.30199999999999994,0.03802630668366309
197,ER,0.1,0.8,0.2,0.4,0.5,0.298,0.033105890714493685
198,ER,0.1,0.8,0.4,0.6,0.05,0.138,0.03429285639896449
199,ER,0.1,0.8,0.4,0.6,0.1,0.17550000000000004,0.022907422377910613
200,ER,0.1,0.8,0.4,0.6,0.2,0.2325,0.03284432979982999
201,ER,0.1,0.8,0.4,0.6,0.3,0.2595,0.04005933099790859
202,ER,0.1,0.8,0.4,0.6,0.4,0.30800000000000005,0.029597297173897478
203,ER,0.1,0.8,0.4,0.6,0.5,0.3055,0.024994999499899976
204,ER,0.1,0.8,0.6,0.8,0.05,0.364,0.13839797686382557
205,ER,0.1,0.8,0.6,0.8,0.1,0.281,0.17549643871030546
206,ER,0.1,0.8,0.6,0.8,0.2,0.3425000000000001,0.1409920210508382
207,ER,0.1,0.8,0.6,0.8,0.3,0.162,0.09677809669548168
208,ER,0.1,0.8,0.6,0.8,0.4,0.16349999999999998,0.08082542916681607
209,ER,0.1,0.8,0.6,0.8,0.5,0.125,0.06272957835024878
210,ER,0.1,0.8,0.8,1.0,0.05,0.933,0.018466185312619357
211,ER,0.1,0.8,0.8,1.0,0.1,0.8634999999999999,0.027253440149823296
212,ER,0.1,0.8,0.8,1.0,0.2,0.48100000000000004,0.22122160834782845
