network_type,noise,threshold,trust_min,trust_max,truth_fraction,baseline_50,baseline_100,degree_100,betweenness_100,baseline_50_std,baseline_100_std,degree_100_std,betweenness_100_std
WS,0.05,0.6,0.3,0.5,0.3,59,59,53,53,2,2,2,2
WS,0.05,0.6,0.3,0.5,0.5,47,47,43,44,1,1,1,1
WS,0.05,0.6,0.3,0.5,0.7,29,29,27,26,0,0,1,1
WS,0.05,0.6,0.5,0.7,0.1,90,90,81,81,0,0,1,0
WS,0.05,0.6,0.5,0.7,0.3,70,70,62,63,0,0,1,1
WS,0.05,0.6,0.5,0.7,0.5,49,49,43,44,0,0,2,1
WS,0.05,0.6,0.5,0.7,0.7,27,27,25,25,0,0,1,2
WS,0.05,0.6,0.7,0.9,0.1,89,89,80,80,0,0,0,0
WS,0.05,0.6,0.7,0.9,0.3,66,66,60,60,1,1,2,2
WS,0.05,0.6,0.7,0.9,0.5,37,37,34,33,3,3,4,4
WS,0.05,0.6,0.7,0.9,0.7,10,10,8,8,4,4,3,3
WS,0.05,0.7,0.1,0.3,0.1,27,27,31,31,2,2,1,2
WS,0.05,0.7,0.1,0.3,0.3,35,35,34,34,2,2,2,2
WS,0.05,0.7,0.1,0.3,0.5,36,36,33,32,2,2,2,2
WS,0.05,0.7,0.1,0.3,0.7,26,26,24,24,1,1,1,1
WS,0.05,0.7,0.3,0.5,0.1,59,59,53,54,3,3,3,4
WS,0.05,0.7,0.3,0.5,0.3,62,62,56,56,2,2,2,2
WS,0.05,0.7,0.3,0.5,0.5,47,47,43,43,1,1,1,1
WS,0.05,0.7,0.3,0.5,0.7,30,30,27,27,0,0,1,0
WS,0.05,0.7,0.5,0.7,0.1,90,90,80,81,0,0,0,1
WS,0.05,0.7,0.5,0.7,0.3,69,69,62,62,0,0,1,1
WS,0.05,0.7,0.5,0.7,0.5,49,49,44,44,0,0,1,1
WS,0.05,0.7,0.5,0.7,0.7,28,28,25,25,1,1,1,1
WS,0.05,0.7,0.7,0.9,0.1,90,90,81,81,0,0,1,0
WS,0.05,0.7,0.7,0.9,0.3,67,67,59,60,1,1,1,1
WS,0.05,0.7,0.7,0.9,0.5,38,38,34,33,3,3,3,3
WS,0.05,0.7,0.7,0.9,0.7,10,10,10,9,2,2,2,2
WS,0.2,0.5,0.1,0.3,0.1,27,27,30,30,2,2,2,2
WS,0.2,0.5,0.1,0.3,0.3,33,33,32,33,1,1,3,2
WS,0.2,0.5,0.1,0.3,0.5,35,35,32,32,2,2,3,2
WS,0.2,0.5,0.1,0.3,0.7,26,26,23,23,1,1,2,2
WS,0.2,0.5,0.3,0.5,0.1,51,51,46,45,4,4,3,3
WS,0.2,0.5,0.3,0.5,0.3,56,56,50,50,3,3,3,3
WS,0.2,0.5,0.3,0.5,0.5,47,47,42,42,1,1,1,2
WS,0.2,0.5,0.3,0.5,0.7,29,29,26,26,0,0,1,1
WS,0.2,0.5,0.5,0.7,0.1,90,90,80,81,0,0,1,0
WS,0.2,0.5,0.5,0.7,0.3,69,69,62,62,0,0,1,1
WS,0.2,0.5,0.5,0.7,0.5,48,48,43,43,1,1,2,1
WS,0.2,0.5,0.5,0.7,0.7,26,26,24,24,1,1,2,2
WS,0.2,0.5,0.7,0.9,0.1,89,89,80,80,0,0,0,0
WS,0.2,0.5,0.7,0.9,0.3,66,66,59,60,2,2,2,2
WS,0.2,0.5,0.7,0.9,0.5,35,35,31,32,6,6,5,5
WS,0.2,0.5,0.7,0.9,0.7,9,9,8,8,4,4,3,4
WS,0.2,0.6,0.1,0.3,0.1,26,26,29,30,3,3,2,2
WS,0.2,0.6,0.1,0.3,0.3,33,33,32,33,2,2,2,2
WS,0.2,0.6,0.1,0.3,0.5,35,35,32,32,3,3,3,2
WS,0.2,0.6,0.1,0.3,0.7,26,26,24,24,1,1,2,2
WS,0.2,0.6,0.3,0.5,0.1,55,55,49,49,3,3,3,3
WS,0.2,0.6,0.3,0.5,0.3,58,58,52,52,2,2,2,2
WS,0.2,0.6,0.3,0.5,0.5,47,47,42,43,1,1,1,1
WS,0.2,0.6,0.3,0.5,0.7,29,29,27,27,0,0,1,1
WS,0.2,0.6,0.5,0.7,0.1,90,90,80,80,0,0,0,0
WS,0.2,0.6,0.5,0.7,0.3,69,69,62,63,0,0,1,1
WS,0.2,0.6,0.5,0.7,0.5,48,48,43,44,1,1,2,1
WS,0.2,0.6,0.5,0.7,0.7,27,27,24,24,1,1,1,1
WS,0.2,0.6,0.7,0.9,0.1,89,89,80,81,0,0,1,1
WS,0.2,0.6,0.7,0.9,0.3,66,66,59,59,1,1,2,2
WS,0.2,0.6,0.7,0.9,0.5,37,37,34,33,3,3,3,3
WS,0.2,0.6,0.7,0.9,0.7,8,8,7,7,3,3,3,3
WS,0.2,0.7,0.1,0.3,0.1,26,26,29,30,2,2,3,2
WS,0.2,0.7,0.1,0.3,0.3,33,33,32,32,3,3,2,3
WS,0.2,0.7,0.1,0.3,0.5,35,35,33,33,2,2,1,1
WS,0.2,0.7,0.1,0.3,0.7,27,27,25,24,1,1,2,1
WS,0.2,0.7,0.3,0.5,0.1,57,57,52,52,3,3,3,3
WS,0.2,0.7,0.3,0.5,0.3,59,59,53,53,2,2,2,2
WS,0.2,0.7,0.3,0.5,0.5,48,48,42,42,1,1,2,1
WS,0.2,0.7,0.3,0.5,0.7,29,29,26,26,0,0,1,1
WS,0.2,0.7,0.5,0.7,0.1,90,90,81,81,0,0,1,0
WS,0.2,0.7,0.5,0.7,0.3,69,69,63,62,0,0,0,1
WS,0.2,0.7,0.5,0.7,0.5,49,49,45,44,0,0,1,1
WS,0.2,0.7,0.5,0.7,0.7,27,27,24,25,1,1,1,1
WS,0.2,0.7,0.7,0.9,0.1,89,89,81,80,0,0,0,0
WS,0.2,0.7,0.7,0.9,0.3,67,67,61,61,1,1,2,1
WS,0.2,0.7,0.7,0.9,0.5,38,38,34,34,3,3,3,3
WS,0.2,0.7,0.7,0.9,0.7,12,12,10,10,3,3,3,3
